source1	p1	p2	target	p3	p4	source2	NI3	Conflict
Area_lag+2	0.5	0.5	EqDiameter_lag+2	0.999999	0.5	MeanGreyValue_lag+2	0	0
Area_lag+2	0.5	0	Energy_lag+2	0	0.195687	Homogeneity_lag+2	245.82444	0
Area_lag+2	0.5	0	Energy_lag+2	0	0.5	Perimeter_lag+2	180.077561	0
Energy_lag+2	0	0.5	Area_lag+2	0.5	0	Growth2.0_lag+2	0	0
Area_lag+2	0.5	0	Energy_lag+2	1	0	EqDiameter_lag+1	84.368878	0
Area_lag+2	0.5	0	Energy_lag+2	1	0.9096	Area_lag+1	84.368878	0
Energy_lag+2	0	0.5	Area_lag+2	1	0.5	Energy_lag+1	0	0
Area_lag+2	0.5	0	Energy_lag+2	1	0.5	Homogeneity_lag+1	84.747864	0
EqDiameter_lag+2	0.050762	0	Energy_lag+2	0	0.195687	Homogeneity_lag+2	245.82444	0
EqDiameter_lag+2	0.050762	0	Energy_lag+2	0	0.5	Perimeter_lag+2	180.077561	0
Energy_lag+2	0	0.050762	EqDiameter_lag+2	0.011987	0	Growth2.0_lag+2	189.83134	0
EqDiameter_lag+2	0.050762	0	Energy_lag+2	1	0	EqDiameter_lag+1	84.368878	0
EqDiameter_lag+2	0.050762	0	Energy_lag+2	1	0.9096	Area_lag+1	84.368878	0
Energy_lag+2	0	0.050762	EqDiameter_lag+2	1	0.5	Energy_lag+1	0	0
EqDiameter_lag+2	0.050762	0	Energy_lag+2	1	0.5	Homogeneity_lag+1	84.747864	0
Energy_lag+2	0	0.050762	EqDiameter_lag+2	0.999999	0.5	MeanGreyValue_lag+2	2.928519	0
Circularity_lag+2	0.5	0	Solidity_lag+2	0.5	0.5	Correlation_lag+2	123.00522	0
Circularity_lag+2	0.5	0	Solidity_lag+2	1	0.5	Solidity_lag+1	25.299594	0
Area_lag0	1	0.5	Energy_lag0	0.5	0.5	Homogeneity_lag0	190.165493	0
Energy_lag0	0.5	1	Area_lag0	1	1	Area_lag+1	-17.81756	0
Energy_lag0	0.5	1	Area_lag0	1	1	EqDiameter_lag+1	-17.81756	0
Area_lag0	1	0.5	Energy_lag0	0.5	0.5	Circularity_lag0	28.341084	0
Area_lag0	1	0.5	Energy_lag0	0.5	1	Growth2.0_lag+2	7.190659	0
Area_lag0	1	0.5	Energy_lag0	0.5	0.5	Correlation_lag0	0.041784	0
Energy_lag0	0.5	1	Area_lag0	0.5	1	ClassN2_lag+2	0	0
EqDiameter_lag0	0.5	0.5	Energy_lag0	0.5	0.5	Homogeneity_lag0	190.165493	0
Energy_lag0	0.5	0.5	EqDiameter_lag0	0.5	1	Area_lag+1	51.552113	0
Energy_lag0	0.5	0.5	EqDiameter_lag0	0.5	1	EqDiameter_lag+1	51.552113	0
EqDiameter_lag0	0.5	0.5	Energy_lag0	0.5	0.5	Circularity_lag0	28.341084	0
EqDiameter_lag0	0.5	0.5	Energy_lag0	0.5	1	Growth2.0_lag+2	7.190659	0
EqDiameter_lag0	0.5	0.5	Energy_lag0	0.5	0.5	Correlation_lag0	0.041784	0
Energy_lag0	0.5	0.5	EqDiameter_lag0	0.5	1	ClassN2_lag+2	0	0
Solidity_lag0	0.5	0.5	Circularity_lag0	0.5	0.5	Perimeter_lag0	90.836521	0
Solidity_lag0	0.5	0.5	Circularity_lag0	0.5	0.5	Energy_lag0	21.902458	0
Solidity_lag0	0.5	0.5	Circularity_lag0	0.5	0.5	Correlation_lag0	0.560686	0
Homogeneity_lag0	0.5	0.5	Energy_lag0	0.5	0.5	Perimeter_lag0	138.917599	0
Homogeneity_lag0	0.5	0.5	Energy_lag0	0.5	0.5	Circularity_lag0	30.566631	0
Homogeneity_lag0	0.5	0.5	Energy_lag0	0.5	1	Growth2.0_lag+2	0	0
Homogeneity_lag0	0.5	0.5	Energy_lag0	0.5	0.5	Correlation_lag0	0	0
Energy_lag0	0.5	0.5	Homogeneity_lag0	0.5	0.999992	MeanGreyValue_lag0	2.50836	0
Homogeneity_lag+2	0.195687	0	Energy_lag+2	0	0.5	Perimeter_lag+2	169.726618	0
Homogeneity_lag+2	0.195687	0	Energy_lag+2	1	0	EqDiameter_lag+1	51.249805	0
Homogeneity_lag+2	0.195687	0	Energy_lag+2	1	0.9096	Area_lag+1	51.249805	0
Homogeneity_lag+2	0.195687	0	Energy_lag+2	1	0.5	Homogeneity_lag+1	71.84409	0
Energy_lag+2	0	0.195687	Homogeneity_lag+2	1	0.5	Growth1.0_lag+1	1.413471	0
