x	y	type	ai	raw_contributions	contributions	info	info_cond	cplx	Nxy_ai	info_shifted	infOrt	trueOrt	isOrtOk	sign	partial_correlation	is_causal	proba	confidence
Area_lag0	EqDiameter_lag0	P	NA	NA	NA	615.835316	615.835316	83.017237	332	532.818079	1	NA	NA	+	1	N	0.5;0.5	NA
Area_lag+2	EqDiameter_lag+2	P	NA	NA	NA	599.628738	599.628738	68.576248	335	531.05249	1	NA	NA	+	1	N	0.5;0.5	NA
Area_lag+2	Energy_lag+2	P	NA	NA	NA	523.378543	523.378543	84.032625	335	439.345918	1	NA	NA	-	-0.997853837688783	N	0.5;1.56484160301952e-37	NA
Energy_lag+2	EqDiameter_lag+2	P	NA	NA	NA	523.378543	523.378543	84.032625	335	439.345918	1	NA	NA	-	-0.997853837688783	N	1.56484160301952e-37;0.0507624030216129	NA
Circularity_lag+2	Solidity_lag+2	P	NA	NA	NA	485.253551	485.253551	110.575667	335	374.677884	1	NA	NA	+	0.985573203273623	N	0.5;1.02926233952119e-11	NA
Area_lag0	Energy_lag0	P	NA	NA	NA	443.707961	443.707961	107.474294	332	336.233667	-2	NA	NA	-	-0.863637764761446	N	0.999999963443738;0.5	NA
Energy_lag0	EqDiameter_lag0	P	NA	NA	NA	443.707961	443.707961	107.474294	332	336.233667	1	NA	NA	-	-0.863637764761446	N	0.5;0.5	NA
Circularity_lag0	Solidity_lag0	P	NA	NA	NA	413.810819	413.810819	92.100934	332	321.709885	1	NA	NA	+	0.978992314485344	N	0.5;0.5	NA
Area_lag+1	EqDiameter_lag+1	P	NA	NA	NA	352.574654	352.574654	62.875391	197	289.699263	1	NA	NA	+	1	N	0.5;0.5	NA
Energy_lag0	Homogeneity_lag0	P	NA	NA	NA	341.502582	341.502582	80.330654	332	261.171928	1	NA	NA	+	0.94769344381691	N	0.5;0.5	NA
Energy_lag+2	Homogeneity_lag+2	P	NA	NA	NA	327.683038	327.683038	72.19134	335	255.491698	1	NA	NA	+	0.938742451131851	N	6.28793628819496e-32;0.195687221886127	NA
Grey2.0_lag+2	MeanGreyValue_lag+2	P	NA	NA	NA	324.467487	324.467487	74.985142	316	249.482345	1	NA	NA	+	0.93773186310023	N	1.28107485387511e-34;0.000488593101116249	NA
Correlation_lag+2	MeanGreyValue_lag+2	P	NA	NA	NA	300.329179	300.329179	58.191557	335	242.137622	1	NA	NA	-	-0.902290195727947	N	0.5;1.25551197390791e-35	NA
Area_lag+1	Energy_lag+1	P	NA	NA	NA	293.796882	293.796882	54.953251	197	238.843631	-2	NA	NA	-	-0.999135924358118	N	0.99984886825834;0.5	NA
Energy_lag+1	EqDiameter_lag+1	P	NA	NA	NA	293.796882	293.796882	54.953251	197	238.843631	1	NA	NA	-	-0.999135924358118	N	0.5;5.77656251412127e-32	NA
Area_lag+2	Growth2.0_lag+2	P	NA	NA	NA	244.158118	244.158118	42.769271	316	201.388847	1	NA	NA	+	0.872512549145328	N	0.5;5.81768437883975e-12	NA
EqDiameter_lag+2	Growth2.0_lag+2	P	NA	NA	NA	244.158118	244.158118	42.769271	316	201.388847	1	NA	NA	+	0.872512549145328	N	0.0119873599339058;5.81768437883975e-12	NA
ClassN2_lag+2	MeanGreyValue_lag+2	P	NA	NA	NA	205.595932	205.595932	11.490969	335	194.104963	2	NA	NA	+	0.855185152518783	N	0.5;0.999511406898884	NA
Circularity_lag+1	Solidity_lag+1	P	NA	NA	NA	267.54559	267.54559	76.965174	197	190.580416	1	NA	NA	+	0.978880800128081	N	0.0548657101191079;0.5	NA
Energy_lag+2	Perimeter_lag+2	P	NA	NA	NA	259.914307	259.914307	70.804541	335	189.109766	1	NA	NA	-	-0.874395232432735	N	6.54762319493167e-24;0.5	NA
Energy_lag0	Perimeter_lag0	P	NA	NA	NA	259.358473	259.358473	81.236431	332	178.122042	1	NA	NA	-	-0.593201429250209	N	0.5;0.5	NA
Correlation_lag+2	Solidity_lag+2	P	NA	NA	NA	163.769609	163.769609	22.142911	335	141.626698	1	NA	NA	+	0.708453774753265	N	0.5;0.5	NA
Correlation_lag+1	MeanGreyValue_lag+1	P	NA	NA	NA	155.107718	155.107718	40.753682	197	114.354036	1	NA	NA	-	-0.874053913212724	N	0.5;0.5	NA
Grey1.0_lag+1	MeanGreyValue_lag+1	P	NA	NA	NA	146.962148	146.962148	33.865373	181	113.096775	1	NA	NA	+	0.909007750996701	N	0.5;0.5	NA
ClassN2_lag+2	Grey1.0_lag+1	P	NA	NA	NA	117.173928	117.173928	10.936277	181	106.237651	-2	NA	NA	+	0.862851055745945	N	1;0.5	NA
Circularity_lag0	Perimeter_lag0	P	NA	NA	NA	147.195961	147.195961	48.907241	332	98.28872	1	NA	NA	-	-0.686918065700201	N	0.5;0.5	NA
Grey1.0_lag+1	Grey2.0_lag+2	P	NA	NA	NA	133.006408	133.006408	39.932028	172	93.07438	2	NA	NA	+	0.862101819948446	N	0.5;1	NA
Area_lag+1	Energy_lag+2	P	NA	NA	NA	147.098085	147.098085	54.786178	187	92.311907	6	NA	NA	-	-0.872026899497951	N	0.909600011617233;1	NA
Energy_lag+2	EqDiameter_lag+1	P	NA	NA	NA	147.098085	147.098085	54.786178	187	92.311907	-2	NA	NA	-	-0.872026899497951	Y	1;7.89689301698714e-26	NA
Energy_lag+1	Perimeter_lag+1	P	NA	NA	NA	131.932107	131.932107	40.740746	197	91.191361	2	NA	NA	-	-0.841904888969373	N	0.5;0.999842709561999	NA
Area_lag+1	Homogeneity_lag+1	P	NA	NA	NA	131.509084	131.509084	40.930606	197	90.578478	-2	NA	NA	-	-0.841879650980401	N	0.99984886825834;0.5	NA
EqDiameter_lag+1	Homogeneity_lag+1	P	NA	NA	NA	131.509084	131.509084	40.930606	197	90.578478	1	NA	NA	-	-0.841879650980401	N	4.00910991983428e-09;0.5	NA
Correlation_lag+2	Growth2.1_lag+2	P	NA	NA	NA	114.10416	114.10416	27.404615	187	86.699545	1	NA	NA	+	0.77011565971028	N	0.5;4.64891325651684e-16	NA
Energy_lag+2	Homogeneity_lag+1	P	NA	NA	NA	126.517018	126.517018	40.304632	187	86.212386	-2	NA	NA	+	0.844714250584492	N	1;0.5	NA
