source1	p1	p2	target	p3	p4	source2	NI3	Conflict
EqDiameter_lag+2	0	0.5	Energy_lag+2	0.5	1	Perimeter_lag+2	223.1556	0
EqDiameter_lag+2	0	0.5	Energy_lag+2	0.5	4e-06	Growth2.0_lag+2	169.682936	0
EqDiameter_lag+2	0	0.5	Energy_lag+2	0.5	0.5	Homogeneity_lag+2	152.688734	0
Energy_lag+2	0.5	0	EqDiameter_lag+2	1	0.5	Area_lag+1	141.019706	0
Energy_lag+2	0.5	0	EqDiameter_lag+2	1	0	EqDiameter_lag+1	141.019706	0
EqDiameter_lag+2	0	0.5	Energy_lag+2	0.5	0.000657	Growth2.1_lag+2	100.429979	0
Area_lag+2	0.5	0.5	Energy_lag+2	0.5	1	Perimeter_lag+2	223.1556	0
Area_lag+2	0.5	0.5	Energy_lag+2	0.5	4e-06	Growth2.0_lag+2	169.682936	0
Area_lag+2	0.5	0.5	Energy_lag+2	0.5	0.5	Homogeneity_lag+2	152.688734	0
Energy_lag+2	0.5	0.5	Area_lag+2	1	0.5	Area_lag+1	0	0
Energy_lag+2	0.5	0.5	Area_lag+2	1	0	EqDiameter_lag+1	0	0
Area_lag+2	0.5	0.5	Energy_lag+2	0.5	0.000657	Growth2.1_lag+2	100.429979	0
Area_lag+1	0.994894	0.5	Energy_lag+1	0.5	1	Perimeter_lag+1	199.699157	0
Area_lag+1	0.994894	0.5	Energy_lag+1	0.5	0.5	Homogeneity_lag+1	150.229546	0
Energy_lag+1	0.5	0.994894	Area_lag+1	0.5	1	EqDiameter_lag+2	0	0
Energy_lag+1	0.5	0.994894	Area_lag+1	0.5	1	Area_lag+2	0	0
Energy_lag+1	0.5	0.994894	Area_lag+1	1	0.999998	Growth1.0_lag+1	0	0
Energy_lag+1	0.5	0.994894	Area_lag+1	1	0	EqDiameter_lag0	-5.272276	0
Energy_lag+1	0.5	0.994894	Area_lag+1	1	0.5	Area_lag0	-5.272276	0
Area_lag+1	0.994894	0.5	Energy_lag+1	0.5	1	MeanGreyValue_lag+2	13.676725	0
EqDiameter_lag+1	0	0.5	Energy_lag+1	0.5	1	Perimeter_lag+1	199.699157	0
EqDiameter_lag+1	0	0.5	Energy_lag+1	0.5	0.5	Homogeneity_lag+1	150.229546	0
Energy_lag+1	0.5	0	EqDiameter_lag+1	0	1	EqDiameter_lag+2	142.951201	0
Energy_lag+1	0.5	0	EqDiameter_lag+1	0	1	Area_lag+2	142.951201	0
Energy_lag+1	0.5	0	EqDiameter_lag+1	1	0.999998	Growth1.0_lag+1	107.786819	0
Energy_lag+1	0.5	0	EqDiameter_lag+1	1	0.5	Area_lag0	60.946061	0
Energy_lag+1	0.5	0	EqDiameter_lag+1	1	0	EqDiameter_lag0	60.946061	0
EqDiameter_lag+1	0	0.5	Energy_lag+1	0.5	1	MeanGreyValue_lag+2	13.676725	0
EqDiameter_lag0	0.5	0.5	Energy_lag0	0.5	0.5	Homogeneity_lag0	178.24556	0
Energy_lag0	0.5	0.5	EqDiameter_lag0	0	1	Area_lag+1	29.498912	0
Energy_lag0	0.5	0.5	EqDiameter_lag0	0	1	EqDiameter_lag+1	29.498912	0
EqDiameter_lag0	0.5	0.5	Energy_lag0	0.5	0.999956	Circularity_lag0	41.339078	0
EqDiameter_lag0	0.5	0.5	Energy_lag0	0.5	0.999732	MeanGreyValue_lag0	0	0
Energy_lag0	0.5	0.5	EqDiameter_lag0	1	0.999993	Correlation_lag0	0	0
Area_lag0	0.5	0.5	Energy_lag0	0.5	0.5	Homogeneity_lag0	178.24556	0
Energy_lag0	0.5	0.5	Area_lag0	0.5	1	Area_lag+1	0	0
Energy_lag0	0.5	0.5	Area_lag0	0.5	1	EqDiameter_lag+1	0	0
Area_lag0	0.5	0.5	Energy_lag0	0.5	0.999956	Circularity_lag0	41.339078	0
Area_lag0	0.5	0.5	Energy_lag0	0.5	0.999732	MeanGreyValue_lag0	0	0
Energy_lag0	0.5	0.5	Area_lag0	1	0.999993	Correlation_lag0	0	0
Solidity_lag0	0.5	1e-06	Circularity_lag0	0.999999	0.5	Perimeter_lag0	171.938379	0
Solidity_lag0	0.5	1e-06	Circularity_lag0	1e-06	1	Growth1.0_lag+1	51.959632	0
Solidity_lag0	0.5	1e-06	Circularity_lag0	0.999956	0.5	Energy_lag0	22.282546	0
Solidity_lag0	0.5	1e-06	Circularity_lag0	0.999999	0.999993	Correlation_lag0	7.886139	0
Solidity_lag+1	0.5	0.5	Circularity_lag+1	0.5	1	Perimeter_lag+1	166.336792	0
Solidity_lag+1	0.5	0.5	Circularity_lag+1	0.5	0.5	MeanGreyValue_lag+1	17.407556	0
Circularity_lag+1	0.5	0.5	Solidity_lag+1	0.5	0.5	Correlation_lag+1	0	0
Solidity_lag+2	0.5	0.00061	Circularity_lag+2	0.99939	1	Perimeter_lag+2	147.191425	0
Solidity_lag+2	0.5	0.00061	Circularity_lag+2	0.99939	0	ClassN2_lag+2	36.124502	0
Circularity_lag+2	0.00061	0.5	Solidity_lag+2	0.5	0.5	Correlation_lag+2	1.081805	0
Grey1.0_lag+1	1	0.5	MeanGreyValue_lag+1	0.5	1	ClassN2_lag+2	158.599415	0
Grey1.0_lag+1	1	0.5	MeanGreyValue_lag+1	0.5	0.5	Correlation_lag+1	118.553358	0
MeanGreyValue_lag+1	0.5	1	Grey1.0_lag+1	1	1	Grey2.0_lag+2	0	0
MeanGreyValue_lag+1	0.5	1	Grey1.0_lag+1	1	0.5	MeanGreyValue_lag0	-195.926449	0
Grey1.0_lag+1	1	0.5	MeanGreyValue_lag+1	0.5	0.5	Circularity_lag+1	13.841394	0
MeanGreyValue_lag+1	0.5	1	Grey1.0_lag+1	1	1	Grey2.1_lag+2	1.957067	1
Grey1.0_lag+1	1	0.5	MeanGreyValue_lag+1	0.5	1	MeanGreyValue_lag+2	0	0
Grey2.0_lag+2	0.5	0	MeanGreyValue_lag+2	0	0.5	Correlation_lag+2	174.130813	0
Grey2.0_lag+2	0.5	0	MeanGreyValue_lag+2	0.5	0.5	ClassN2_lag+2	40.785042	0
Grey2.0_lag+2	0.5	0	MeanGreyValue_lag+2	1	1	Grey2.1_lag+2	31.195313	0
MeanGreyValue_lag+2	0	0.5	Grey2.0_lag+2	1	1	Grey1.0_lag+1	0	0
Grey2.0_lag+2	0.5	0	MeanGreyValue_lag+2	1	0.5	Energy_lag+1	5.446272	0
Grey2.0_lag+2	0.5	0	MeanGreyValue_lag+2	1	0.5	MeanGreyValue_lag+1	0	0
MeanGreyValue_lag+2	0	0.5	Grey2.0_lag+2	0.5	0.5	Homogeneity_lag+2	0.654628	0
Homogeneity_lag0	0.5	0.5	Energy_lag0	0.5	0.5	Perimeter_lag0	111.07031	0
Homogeneity_lag0	0.5	0.5	Energy_lag0	0.5	0.999956	Circularity_lag0	42.567535	0
Energy_lag0	0.5	0.5	Homogeneity_lag0	0.5	1	Homogeneity_lag+2	0	0
Homogeneity_lag0	0.5	0.5	Energy_lag0	0.5	0.999732	MeanGreyValue_lag0	1.849926	0
Energy_lag+2	0.5	1	Perimeter_lag+2	1	0.99939	Circularity_lag+2	-134.502436	0
Perimeter_lag+2	1	0.5	Energy_lag+2	0.5	4e-06	Growth2.0_lag+2	104.621512	0
Perimeter_lag+2	1	0.5	Energy_lag+2	0.5	0.5	Homogeneity_lag+2	110.535343	0
Perimeter_lag+2	1	0.5	Energy_lag+2	0.5	0.000657	Growth2.1_lag+2	87.955111	0
Circularity_lag+1	0.5	1	Perimeter_lag+1	1	0.5	Energy_lag+1	-146.947676	0
Circularity_lag+1	0.5	1	Perimeter_lag+1	0	1	Growth2.1_lag+2	34.55965	0
Perimeter_lag+1	1	0.5	Circularity_lag+1	0.5	0.5	MeanGreyValue_lag+1	12.297538	0
Circularity_lag+1	0.5	1	Perimeter_lag+1	0	1	Growth1.0_lag+1	38.02724	0
Circularity_lag0	0.999999	0.5	Perimeter_lag0	0.5	1	EqDiameter_lag0	0	0
Circularity_lag0	0.999999	0.5	Perimeter_lag0	0.5	1	Area_lag0	0	0
Perimeter_lag0	0.5	0.999999	Circularity_lag0	1e-06	1	Growth1.0_lag+1	37.869129	0
