Area_lag0	Circularity_lag0	ClassN2_lag0	Correlation_lag0	Energy_lag0	EqDiameter_lag0	Grey1.0_lag0	Grey2.0_lag0	Grey2.1_lag0	Growth1.0_lag0	Growth2.0_lag0	Growth2.1_lag0	Homogeneity_lag0	MeanGreyValue_lag0	Perimeter_lag0	Solidity_lag0	Area_lag+1	Circularity_lag+1	ClassN2_lag+1	Correlation_lag+1	Energy_lag+1	EqDiameter_lag+1	Grey1.0_lag+1	Grey2.0_lag+1	Grey2.1_lag+1	Growth1.0_lag+1	Growth2.0_lag+1	Growth2.1_lag+1	Homogeneity_lag+1	MeanGreyValue_lag+1	Perimeter_lag+1	Solidity_lag+1	Area_lag+2	Circularity_lag+2	ClassN2_lag+2	Correlation_lag+2	Energy_lag+2	EqDiameter_lag+2	Grey1.0_lag+2	Grey2.0_lag+2	Grey2.1_lag+2	Growth1.0_lag+2	Growth2.0_lag+2	Growth2.1_lag+2	Homogeneity_lag+2	MeanGreyValue_lag+2	Perimeter_lag+2	Solidity_lag+2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23970.5518	0.666182292	NA	0.901912328	0.892205204	174.7004706944	NA	NA	NA	NA	NA	NA	0.949359769	664.3717301	672.430502804	0.910026226	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28391.6334	0.674502564	0	0.891284932	0.87381407	190.1298250698	NA	NA	NA	NA	NA	NA	0.949905809	1002.121144	727.29117678	0.916623778
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28689.2062	0.469665646	NA	0.917564066	0.870834915	191.1236035676	NA	NA	NA	NA	NA	NA	0.954589878	815.7084401	876.132520168	0.834982988	27594.5634	0.672510725	1	0.893832691	0.877154703	187.4419626004	NA	NA	288.4272309	NA	NA	-1094.6428	0.961050884	1104.135671	718.070504434	0.913938754
15808.555	0.775074964	NA	0.902509083	0.928330682	141.8734554762	NA	NA	NA	NA	NA	NA	0.965767692	652.8623641	506.266469706	0.947150589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25330.8846	0.629527301	1	0.874289615	0.886594288	179.5892089766	NA	690.4964339	NA	NA	9522.3296	NA	0.960554916	1343.358798	711.087142052	0.891361257
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23513.565	0.68381945	1	0.848689792	0.89488637	173.0271677884	NA	NA	NA	NA	NA	NA	0.964957221	1404.123194	657.345125992	0.923414023
16281.4832	0.6996306	NA	0.906584672	0.925903236	143.9799578424	NA	NA	NA	NA	NA	NA	0.971348983	609.0186477	540.776134022	0.915446669	30857.2366	0.482130793	NA	0.897744223	0.861462461	198.2136571432	506.7050463	NA	NA	14575.7534	NA	NA	0.956420773	1115.723694	896.811176454	0.822987528	31106.9852	0.32681255	1	0.876735651	0.858367715	199.014179581	NA	616.6648723	109.959826	NA	14825.502	249.748600000003	0.946927746	1225.68352	1093.665545562	0.767435763
17253.9086	0.626414168	NA	0.913272053	0.921412372	148.2172686784	NA	NA	NA	NA	NA	NA	0.963156272	453.7275369	588.325798338	0.869344043	27004.7316	0.347024889	NA	0.91829422	0.876880031	185.427862424	240.7982637	NA	NA	9750.823	NA	NA	0.945774356	694.5258006	988.882184158	0.736842105	21876.9146	0.714551737	0	0.922597784	0.901984069	166.8968327522	NA	158.4321756	-82.3660881000001	NA	4623.006	-5127.817	0.958029441	612.1597125	620.270502152	0.916926503
14405.7118	0.710730141	NA	0.908413304	0.934131718	135.4323518772	NA	NA	NA	NA	NA	NA	0.972694866	617.1505239	504.684452994	0.917738659	19735.4532	0.566306194	NA	0.905822002	0.910373248	158.518009864	3.34116239999992	NA	NA	5329.7414	NA	NA	0.963304966	620.4916863	661.763527872	0.859722222	23258.5026	0.706509188	0	0.919503705	0.895760706	172.0861564982	NA	-31.340851	-34.6820134	NA	8852.7908	3523.0494	0.959539205	585.8096729	643.186470684	0.919344675
17562.109	0.51599493	NA	0.904731728	0.919627656	149.5351853902	NA	NA	NA	NA	NA	NA	0.966401361	620.732851	653.989158438	0.837769328	20431.561	0.378594713	NA	0.899454835	0.906005662	161.289402694	113.2809371	NA	NA	2869.452	NA	NA	0.959170898	734.0137881	823.509159416	0.773175146	20681.3096	0.609978292	1	0.873665297	0.906670053	162.272182506	NA	505.699351	392.4184139	NA	3119.2006	249.748599999999	0.968211026	1126.432202	652.734789004	0.869526363
15936.0862	0.68965075	NA	0.913355722	0.927704863	142.4445686496	NA	NA	NA	NA	NA	NA	0.974000911	617.1825836	538.86646938	0.908512572	24347.8316	0.339187944	NA	0.916299392	0.888767654	176.0699350152	80.8146138999999	NA	NA	8411.7454	NA	NA	0.961934641	697.9971975	949.762182528	0.760497925	25128.9602	0.456608244	1	0.890855155	0.886388409	178.871981723	NA	356.8260205	276.0114066	NA	9192.874	781.1286	0.964774543	974.0086041	831.611176128	0.800575588
17694.954	0.551879892	NA	0.906976519	0.919175776	150.0996841214	NA	NA	NA	NA	NA	NA	0.966665956	598.9028778	634.756805716	0.867413389	29465.021	0.242686126	NA	0.890627214	0.864101324	193.690551985	417.2334972	NA	NA	11770.067	NA	NA	0.950986669	1016.136375	1235.195881898	0.704663871	27137.5766	0.508941694	1	0.8821906	0.878356014	185.8833926886	NA	534.9245192	117.691022	NA	9442.6226	-2327.4444	0.958663978	1133.827397	818.57117515	0.842461234
17604.6194	0.674770955	NA	0.901512575	0.920041871	149.7160565472	NA	NA	NA	NA	NA	NA	0.96215212	661.23595	572.585125666	0.901006255	19995.8294	0.685027515	NA	0.910450394	0.909805325	159.5602730052	40.0005122	NA	NA	2391.21	NA	NA	0.960865363	701.2364622	605.64848544	0.915794597	24873.8978	0.610790773	0	0.902564086	0.888163573	177.9618788188	NA	35.0463694	-4.9541428	NA	7269.2784	4878.0684	0.949240837	696.2823194	715.36983111	0.877248876
14235.6702	0.705464773	NA	0.914241185	0.935080338	134.630673476	NA	NA	NA	NA	NA	NA	0.97444308	436.7048477	503.565797686	0.915271609	18178.5098	0.718580037	NA	0.913352912	0.91782821	152.1367724812	179.3650761	NA	NA	3942.8396	NA	NA	0.968247253	616.0699238	563.827816028	0.922848665	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16148.6382	0.518385135	NA	0.911426178	0.925798048	143.3913691456	NA	NA	NA	NA	NA	NA	0.973097045	560.8103722	625.671848474	0.836959515	18991.5212	0.606835355	NA	0.918091998	0.914139902	155.5016263714	137.9778577	NA	NA	2842.883	NA	NA	0.972077881	698.7882299	627.118150408	0.859961501	26053.5614	0.526980747	1	0.90799992	0.883024426	182.1329861942	NA	370.0370347	232.059177	NA	9904.9232	7062.0402	0.958190618	930.8474069	788.208486092	0.849887329
14517.3016	0.665793636	NA	0.915058808	0.933602245	135.9558843074	NA	NA	NA	NA	NA	NA	0.968415081	526.5936613	523.453444638	0.919246299	19315.663	0.529016852	NA	0.89666285	0.912037739	156.8230402808	264.6688191	NA	NA	4798.3614	NA	NA	0.963122688	791.2624804	677.36848707	0.843583198	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14820.1882	0.600614463	NA	0.905904623	0.931897669	137.3668434404	NA	NA	NA	NA	NA	NA	0.973331741	553.5796185	556.844453646	0.924121935	23173.4818	0.647071491	NA	0.889148531	0.895734703	171.771340515	518.0512375	NA	NA	8353.2936	NA	NA	0.962148854	1071.630856	670.84848707	0.910058431	26090.758	0.569677074	1	0.897494814	0.883151524	182.2629551896	NA	573.1951395	55.143902	NA	11270.5698	2917.2762	0.960633594	1126.774758	758.636806368	0.843497681
15452.5304	0.464336791	NA	0.907170097	0.928296951	140.2667914038	NA	NA	NA	NA	NA	NA	0.966881369	511.4660866	646.678150082	0.794969929	21276.4552	0.289771545	NA	0.892018395	0.900825037	164.5904739996	82.3574634	NA	NA	5823.9248	NA	NA	0.950973564	593.82355	960.564871912	0.680836592	21722.8144	0.637602197	0	0.914332058	0.902255594	166.3079863198	NA	167.3198345	84.9623711	NA	6270.284	446.359199999999	0.960135367	678.7859211	654.316806368	0.889469104
15457.8442	0.620423953	NA	0.912134455	0.929414292	140.2909067322	NA	NA	NA	NA	NA	NA	0.974646645	620.0107454	559.54512534	0.876997287	18385.748	0.564606069	NA	0.873244965	0.916443847	153.0015078888	467.4041706	NA	NA	2927.9038	NA	NA	0.972904216	1087.414916	639.694788352	0.85770947	20729.1338	0.550786262	1	0.880938079	0.906119935	162.4596961738	NA	573.3281846	105.924014	NA	5271.2896	2343.3858	0.970370806	1193.33893	687.70781505	0.862862199
16398.3868	0.711745311	NA	0.913724979	0.92548924	144.4959326146	NA	NA	NA	NA	NA	NA	0.969439606	541.9038388	538.075462654	0.924505692	23146.9128	0.485884271	NA	0.904627605	0.894996906	171.6728420926	137.8621342	NA	NA	6748.526	NA	NA	0.963051773	679.765973	773.722185136	0.824531516	21218.0034	0.685591301	1	0.881673986	0.904892795	164.3642327054	NA	533.4480832	395.585949	NA	4819.6166	-1928.9094	0.968159392	1075.351922	623.626469054	0.904416761
13619.2694	0.622724549	NA	0.900665848	0.937353075	131.6836829954	NA	NA	NA	NA	NA	NA	0.970533603	544.1193641	524.244452994	0.905014124	24608.2078	0.301985152	NA	0.905069518	0.88651333	177.0088791394	461.3520639	NA	NA	10988.9384	NA	NA	0.947502084	1005.471428	1011.93386486	0.709731801	23651.7238	0.431405784	1	0.885407723	0.891974166	173.5347516792	NA	488.3952259	27.043162	NA	10032.4544	-956.483999999997	0.954245301	1032.51459	830.029159742	0.814008778
19262.525	0.375556557	NA	0.912874746	0.911283827	156.6071791526	NA	NA	NA	NA	NA	NA	0.968742332	632.4399786	802.830503456	0.766060862	21951.3078	0.534978205	NA	0.884058014	0.900623295	167.1803611462	405.8095194	NA	NA	2688.7828	NA	NA	0.964711871	1038.249498	718.07050313	0.845303867	22541.1396	0.420773951	1	0.882947207	0.897561907	169.4115412996	NA	508.8047974	102.995278	NA	3278.6146	589.8318	0.969540476	1141.244776	820.480839466	0.773522976
