var_names	var_type	is_contextual	is_consequence	levels_increasing_order	n_layers	delta_t	movavg
Area_lag0	1	0	0	NA	3	1	0
Circularity_lag0	1	0	0	NA	3	1	0
ClassN2_lag0	0	0	0	NA	3	1	0
Correlation_lag0	1	0	0	NA	3	1	0
Energy_lag0	1	0	0	NA	3	1	0
EqDiameter_lag0	1	0	0	NA	3	1	0
Grey1.0_lag0	0	0	0	NA	3	1	0
Grey2.0_lag0	0	0	0	NA	3	1	0
Grey2.1_lag0	0	0	0	NA	3	1	0
Growth1.0_lag0	0	0	0	NA	3	1	0
Growth2.0_lag0	0	0	0	NA	3	1	0
Growth2.1_lag0	0	0	0	NA	3	1	0
Homogeneity_lag0	1	0	0	NA	3	1	0
MeanGreyValue_lag0	1	0	0	NA	3	1	0
Perimeter_lag0	1	0	0	NA	3	1	0
Solidity_lag0	1	0	0	NA	3	1	0
Area_lag+1	1	0	0	NA	3	1	0
Circularity_lag+1	1	0	0	NA	3	1	0
ClassN2_lag+1	0	0	0	NA	3	1	0
Correlation_lag+1	1	0	0	NA	3	1	0
Energy_lag+1	1	0	0	NA	3	1	0
EqDiameter_lag+1	1	0	0	NA	3	1	0
Grey1.0_lag+1	1	0	0	NA	3	1	0
Grey2.0_lag+1	0	0	0	NA	3	1	0
Grey2.1_lag+1	0	0	0	NA	3	1	0
Growth1.0_lag+1	1	0	0	NA	3	1	0
Growth2.0_lag+1	0	0	0	NA	3	1	0
Growth2.1_lag+1	0	0	0	NA	3	1	0
Homogeneity_lag+1	1	0	0	NA	3	1	0
MeanGreyValue_lag+1	1	0	0	NA	3	1	0
Perimeter_lag+1	1	0	0	NA	3	1	0
Solidity_lag+1	1	0	0	NA	3	1	0
Area_lag+2	1	0	0	NA	3	1	0
Circularity_lag+2	1	0	0	NA	3	1	0
ClassN2_lag+2	0	0	0	NA	3	1	0
Correlation_lag+2	1	0	0	NA	3	1	0
Energy_lag+2	1	0	0	NA	3	1	0
EqDiameter_lag+2	1	0	0	NA	3	1	0
Grey1.0_lag+2	0	0	0	NA	3	1	0
Grey2.0_lag+2	1	0	0	NA	3	1	0
Grey2.1_lag+2	1	0	0	NA	3	1	0
Growth1.0_lag+2	0	0	0	NA	3	1	0
Growth2.0_lag+2	1	0	0	NA	3	1	0
Growth2.1_lag+2	1	0	0	NA	3	1	0
Homogeneity_lag+2	1	0	0	NA	3	1	0
MeanGreyValue_lag+2	1	0	0	NA	3	1	0
Perimeter_lag+2	1	0	0	NA	3	1	0
Solidity_lag+2	1	0	0	NA	3	1	0
