x	y	type	ai	raw_contributions	contributions	info	info_cond	cplx	Nxy_ai	info_shifted	infOrt	trueOrt	isOrtOk	sign	partial_correlation	is_causal	proba	confidence
Area_lag0	EqDiameter_lag0	P	NA	NA	NA	962.479706	962.479706	108.029695	480	854.450011	1	NA	NA	+	1	N	0.5;0.5	NA
Area_lag+1	EqDiameter_lag+1	P	NA	NA	NA	965.747517	965.747517	125.191236	464	840.556281	1	NA	NA	+	1	N	0.5;0.5	NA
Area_lag+2	EqDiameter_lag+2	P	NA	NA	NA	898.7381	898.7381	90.644783	462	808.093317	1	NA	NA	+	1	N	0.5;0.5	NA
Area_lag+2	Energy_lag+2	P	NA	NA	NA	850.957002	850.957002	143.953717	462	707.003285	1	NA	NA	-	-0.995514660423059	N	0.5;0.5	NA
Energy_lag+2	EqDiameter_lag+2	P	NA	NA	NA	850.957002	850.957002	143.953717	462	707.003285	1	NA	NA	-	-0.995514660423059	N	0.5;5.70059050182505e-62	NA
Area_lag+1	Energy_lag+1	P	NA	NA	NA	774.790303	774.790303	135.594602	464	639.195701	-2	NA	NA	-	-0.99312274930826	N	0.994894285269075;0.5	NA
Energy_lag+1	EqDiameter_lag+1	P	NA	NA	NA	774.790303	774.790303	135.594602	464	639.195701	1	NA	NA	-	-0.99312274930826	N	0.5;1.54446886722861e-47	NA
Circularity_lag0	Solidity_lag0	P	NA	NA	NA	650.148734	650.148734	119.249823	480	530.898911	1	NA	NA	+	0.982625575631839	N	5.49416053977183e-07;0.5	NA
Circularity_lag+1	Solidity_lag+1	P	NA	NA	NA	649.056978	649.056978	118.457886	464	530.599092	1	NA	NA	+	0.975737380386655	N	0.5;0.5	NA
Area_lag0	Energy_lag0	P	NA	NA	NA	675.711845	675.711845	153.976279	480	521.735566	1	NA	NA	-	-0.872195154715769	N	0.5;0.5	NA
Energy_lag0	EqDiameter_lag0	P	NA	NA	NA	675.711845	675.711845	153.976279	480	521.735566	1	NA	NA	-	-0.872195154715769	N	0.5;0.5	NA
Circularity_lag+2	Solidity_lag+2	P	NA	NA	NA	628.2361	628.2361	117.421224	462	510.814876	1	NA	NA	+	0.974977442348198	N	0.000609674819852567;0.5	NA
Grey2.0_lag+2	MeanGreyValue_lag+2	P	NA	NA	NA	390.509352	390.509352	78.128657	448	312.380695	1	NA	NA	+	0.922472865022304	N	0.5;2.8317022014526e-14	NA
Grey1.0_lag+1	MeanGreyValue_lag+1	P	NA	NA	NA	396.287404	396.287404	86.874008	450	309.413396	-2	NA	NA	+	0.907459493627129	N	1;0.5	NA
Energy_lag0	Homogeneity_lag0	P	NA	NA	NA	347.422237	347.422237	79.878368	480	267.543869	1	NA	NA	+	0.86932126441521	N	0.5;0.5	NA
Energy_lag+2	Perimeter_lag+2	P	NA	NA	NA	288.384102	288.384102	61.880419	462	226.503683	2	NA	NA	-	-0.843954302575105	N	0.5;1	NA
Correlation_lag+2	MeanGreyValue_lag+2	P	NA	NA	NA	262.194766	262.194766	45.61266	462	216.582106	1	NA	NA	-	-0.847402551768588	N	0.5;1.45675114497745e-34	NA
Circularity_lag+1	Perimeter_lag+1	P	NA	NA	NA	277.225955	277.225955	61.343444	464	215.882511	2	NA	NA	-	-0.797378871598479	N	0.5;1	NA
Circularity_lag+2	Perimeter_lag+2	P	NA	NA	NA	262.636404	262.636404	52.58981	462	210.046594	6	NA	NA	-	-0.754282897666869	N	0.999390325180147;1	NA
Energy_lag+1	Perimeter_lag+1	P	NA	NA	NA	264.733882	264.733882	61.322854	464	203.411028	2	NA	NA	-	-0.832256617410281	N	0.5;1	NA
Circularity_lag0	Perimeter_lag0	P	NA	NA	NA	267.927615	267.927615	66.766612	480	201.161003	-2	NA	NA	-	-0.780668235576038	N	0.999999450583946;0.5	NA
Area_lag0	Perimeter_lag0	P	NA	NA	NA	253.702958	253.702958	58.388558	480	195.3144	-2	NA	NA	+	0.768813098514471	N	0.99999989000251;0.5	NA
EqDiameter_lag0	Perimeter_lag0	P	NA	NA	NA	253.702958	253.702958	58.388558	480	195.3144	-2	NA	NA	+	0.768813098514471	N	0.99999989000251;0.5	NA
ClassN2_lag+2	MeanGreyValue_lag+1	P	NA	NA	NA	207.871775	207.871775	16.765817	464	191.105958	-2	NA	NA	+	0.784732388479277	N	1;0.5	NA
