day;drug concentration (uM);spheroIndex;Name;Index;Wells;multiple;Area (pix2);Centroid;Perimeter (pix);Solidity;Equivalent Diameter (pix);Circularity;Aspect ratio;Mean grey value;Homogeneity;Energy;Correlation;viability score
0;0;4;4_1405_0;0;1405;True;1214;(72, 85);165,0538225;0,850437828;39,31555427;0,559986268;0,694209737;599,8585556;0,966956205;0,940493819;0,896205022;100,0677746
0;0;4;4_1405_1;0;1405;True;1414;(69, 77);182,5685415;0,844431173;42,43065774;0,533098403;0,917823026;482,5001757;0,962792123;0,930889392;0,911742481;100,0677746
0;0;5;5_1502_0;0;1502;False;1968;(76, 74);187,0538225;0,92481203;50,05732138;0,706808531;0,931719291;508,7845899;0,951250581;0,90581467;0,907948505;97,24835308
0;0;6;6_1201_0;0;1201;False;1796;(62, 77);191,8822498;0,880392157;47,81985176;0,612980406;0,911095761;477,8511844;0,955714181;0,913395907;0,905068055;87,92257435
0;0;7;7_0901_0;0;901;False;1769;(70, 80);173,5391036;0,936226515;47,45904292;0,738147235;0,812286517;549,0648192;0,954456973;0,915306967;0,902012209;91,91314013
0;0;8;8_0601_0;0;601;False;1930,5;(72, 69);182,4680359;0,931708494;49,5781095;0,728628367;0,934760614;644,2516606;0,952222635;0,907605636;0,900577214;95,38319733
0;0;9;9_0301_0;0;301;False;1898;(76, 74);188,3675305;0,903379343;49,15901398;0,672192997;0,921347136;652,7277416;0,952043813;0,908852546;0,898823639;97,81223737
0;0;10;10_0204_0;0;204;False;1902,5;(71, 72);192,9533173;0,906816015;49,21725545;0,642140454;0,80458143;570,1080404;0,957870036;0,908363272;0,905255788;94,60243446
0;0;11;11_0207_0;0;207;False;1948,5;(66, 74);199,4385986;0,866;49,8087066;0,615590411;0,89203966;666,8519152;0,95797087;0,906473292;0,910019821;93,99517445
0;0;12;12_0210_0;0;210;False;1964;(74, 77);188,7106769;0,930364756;50,00642425;0,693040161;0,88823958;763,3355687;0,95814899;0,906055868;0,911545063;99,20026025
0;0;13;13_0213_0;0;213;False;1785;(76, 67);183,1959579;0,904484419;47,6731852;0,668369018;0,893528068;674,0779938;0,958816627;0,914236639;0,903697329;92,52040014
0;0;14;14_0216_0;0;216;False;1777;(75, 71);199,3969685;0,895214106;47,56623457;0,561642792;0,819727536;536,0145247;0,961206341;0,914111835;0,914412232;94,51568303
0;0;15;15_0218_0;0;218;False;1964;(83, 79);191,3969686;0,912851499;50,00642425;0,673722788;0,807369675;562,5801222;0,962083814;0,906278343;0,921788489;103,2775775
0;0;16;16_0222_0;0;222;False;1816;(73, 71);181,0538224;0,918795851;48,08537213;0,696161998;0,934084759;525,4342147;0,955316466;0,91295441;0,909914751;111,6924662
0;0;18;18_0624_0;0;624;False;1516;(70, 72);172,2253956;0,893867925;43,93439598;0,642265632;0,979762604;411,7469497;0,964941247;0,926554979;0,92225268;99,28701168
0;0;19;19_1024_0;0;1024;False;1755;(68, 70);225,396969;0,799726589;47,27087265;0,434101055;0,791980424;570,6261119;0,962736382;0,914680919;0,924948908;113,0804891
0;0;20;20_1324_0;0;1324;False;1862;(78, 67);193,0538226;0,879754311;48,69057437;0,627816506;0,879219369;705,8758987;0,963279431;0,910373393;0,926951053;127,4812264
0;0,1;5;5_1401_0;0;1401;False;2078,5;(72, 72);200,1248901;0,89282646;51,4434485;0,652165289;0,975895572;472,7015982;0,966141908;0,900688343;0,916992494;95,38319733
0;0,1;6;6_1201_0;0;1201;False;1825;(70, 79);179,0538226;0,928280773;48,20437915;0,715328516;0,922674193;606,8883771;0,965632487;0,912557085;0,914241761;91,30588012
0;0,1;7;7_0801_0;0;801;False;2033,5;(80, 75);210,1248903;0,845705968;50,88352007;0,578760711;0,866625297;641,2633811;0,9615838;0,902393216;0,906982936;113,7311248
0;0,1;8;8_0501_0;0;501;False;1847;(72, 73);181,8822498;0,919134113;48,49405571;0,701610572;0,909755275;689,0938255;0,965749523;0,911519435;0,906845864;87,05506005
0;0,1;9;9_0301_0;0;301;False;1829,5;(68, 77);173,7817441;0,941585178;48,26377262;0,76126169;0,972270582;628,3977792;0,975075192;0,912825314;0,91963828;89,13709437
0;0,1;10;10_0204_0;0;204;False;2146;(73, 73);231,6812391;0,855661882;52,27209641;0,502409505;0,864121796;610,1636464;0,965128484;0,896872987;0,9247958;91,04562583
0;0,1;11;11_0207_0;0;207;False;1840;(70, 72);190,0243856;0,905511811;48,40207395;0,640337614;0,836694154;551,1737388;0,963381375;0,911475278;0,909941279;89,39734866
0;0,1;12;12_0210_0;0;210;False;2088;(74, 85);280,8528123;0,728033473;51,56087828;0,332646382;0,731723367;708,8279546;0,963387633;0,897566968;0,899155049;92,26014585
0;0,1;13;13_0213_0;0;213;True;1713,5;(78, 74);189,7817444;0,870017771;46,70862832;0,597840186;0,841353411;619,7997026;0,969757639;0,91748534;0,919572442;94,64581018
0;0,1;13;13_0213_1;0;213;True;629,5;(69, 79);113,1543274;0,887244538;28,31085116;0,61782185;0,894266533;464,5408078;0,984990971;0,968076885;0,887917625;94,64581018
0;0,1;14;14_0216_0;0;216;False;2584,5;(69, 71);341,0365777;0,674539997;57,36451519;0,279244403;0,483394404;338,9201485;0,941534598;0,87376313;0,915310129;96,85797164
0;0,1;15;15_0219_0;0;219;False;1805;(75, 75);228,1665199;0,783590189;47,93951792;0,43569566;0,615601742;626,9704068;0,964506398;0,912078577;0,911661436;102,0196817
0;0,1;16;16_0222_0;0;222;False;1792,5;(70, 69);216,9533175;0,810902511;47,77323397;0,478560046;0,788156458;677,861893;0,96734287;0,912942023;0,904430598;96,07720877
0;0,1;17;17_0324_0;0;324;False;1456,5;(70, 74);153,4974736;0,951338994;43,06359712;0,776815512;0,841852831;488,136541;0,961880542;0,911682016;0,914250347;80,98245995
0;0,1;19;19_1024_0;0;1024;False;1298,5;(81, 74);160,4680361;0,887863248;40,66081097;0,63368692;0,864215859;563,2512889;0,973019328;0,936829592;0,9059241;91,65288584
0;0,1;20;20_1324_0;0;1324;False;1412;(72, 72);155,8822496;0,928947368;42,40063958;0,73021581;0,826736443;423,8755959;0,975139795;0,931886012;0,922112342;98,7665031
0;1;2;2_0705_0;0;705;False;2274,5;(65, 80);293,0954529;0,765438331;53,81434144;0,332719032;0,640301486;432,5355645;0,944697192;0,888891484;0,916495191;54,21964378
0;1;4;4_1305_0;0;1305;False;1792,5;(74, 73);176,6101714;0,928035206;47,77323397;0,722166942;0,914656539;561,4059618;0,956199813;0,914160572;0,905713763;45,89150649
0;1;10;10_0202_0;0;202;False;2117,5;(86, 78);211,7817442;0,870682566;51,92383591;0,593275264;0,893724623;542,5243564;0,957419701;0,898545749;0,91771343;56,17155095
0;1;11;11_0206_0;0;206;False;1872;(78, 67);199,195958;0,877225867;48,82114734;0,592863434;0,914663163;557,3664131;0,955670476;0,909762182;0,90961386;54,39314664
0;1;12;12_0209_0;0;209;False;1798,5;(69, 70);190,6101712;0,878388278;47,85312238;0,622054109;0,837974993;688,2073631;0,958099055;0,913533434;0,896605818;49,01455797
0;1;13;13_0212_0;0;212;False;1720;(70, 83);175,0538224;0,909571655;46,79713685;0,70533448;0,877627932;636,9639159;0,961860865;0,917241576;0,908705396;54,13289235
0;1;14;14_0214_0;0;214;False;1085,5;(72, 75);140,6690468;0,921086126;37,17662607;0,689354481;0,986339322;412,3148232;0,977651201;0,946786669;0,919188488;54,52327378
0;1;17;17_0324_0;0;324;False;1973,5;(74, 80);187,1543279;0,920261133;50,12722056;0,708022804;0,931472276;556,665505;0,954753656;0,905614759;0,907131189;65,15032396
0;1;18;18_0624_0;0;624;False;2201,5;(84, 84);343,3797232;0,697118429;52,94371405;0,234627688;0,62033185;587,0180243;0,943196052;0,890549979;0,896392478;71,09279692
0;2;2;2_0805_0;0;805;False;2786;(70, 75);350,3086559;0,733737161;59,55875563;0,285291767;0,602759164;536,7326905;0,941443228;0,863890468;0,91519716;25,37479329
0;2;3;3_1105_0;0;1105;False;1979;(82, 72);202,3675307;0,887443946;50,19702241;0,607259047;0,887043957;555,8084408;0,958852915;0,904675788;0,924044147;29,43042264
0;2;4;4_1405_0;0;1405;False;1866,5;(73, 69);191,9827549;0,89606337;48,74937549;0,636375453;0,88234938;633,1167519;0,956550501;0,91025461;0,910972557;30,51481552
0;2;5;5_1502_0;0;1502;False;1714;(76, 76);181,0538226;0,900446546;46,71544263;0,657060386;0,87976907;657,5235998;0,962480547;0,91742785;0,911085463;24,89766042
0;2;7;7_0901_0;0;901;False;1599;(65, 72);186,7106769;0,883913765;45,12105974;0,576394756;0,782663015;791,3569868;0,976439147;0,922466946;0,901571702;24,68078185
0;2;8;8_0601_0;0;601;False;1788,5;(75, 73);191,7817444;0,869258809;47,71990073;0,611060596;0,839285561;611,6742719;0,963501898;0,913641829;0,917679326;24,83259685
0;2;13;13_0213_0;0;213;True;1173;(75, 73);159,5979791;0,844492441;38,64595692;0,578699491;0,92397373;472,8787697;0,973250477;0,942314664;0,909466092;29,06172906
0;2;13;13_0213_1;0;213;True;977;(73, 69);131,3969685;0,918664786;35,26974674;0,711105007;0,805046817;482,8815124;0,978908329;0,952012932;0,911210471;29,06172906
0;2;14;14_0216_0;0;216;True;1051,5;(66, 71);136,3259008;0,921964051;36,58977154;0,710988193;0,847908149;599,3945891;0,981186038;0,948428354;0,911129074;29,92924336
0;2;14;14_0216_1;0;216;True;608;(77, 81);100,4264059;0,938271605;27,82318535;0,75756099;0,804111148;350,8916581;0,984426386;0,969324877;0,891705597;29,92924336
0;2;19;19_1024_0;0;1024;False;1290;(80, 75);149,3969685;0,925726588;40,52750933;0,726299933;0,933575072;603,5209317;0,974070114;0,93735219;0,911369474;27,23994903
0;5;1;1_0505_0;0;505;False;2215,5;(77, 83);208,9533175;0,883373206;53,11178976;0,637651047;0,911467925;343,6828968;0,948200323;0,894172511;0,92734176;11,08249519
0;5;2;2_0905_0;0;905;False;1885;(63, 73);201,5391039;0,872079574;48,99037193;0,583179934;0,92213577;664,5269008;0,963374257;0,90936314;0,926815381;10,93068019
0;5;4;4_1504_0;0;1504;True;1493;(79, 68);163,0538228;0,925317632;43,59984679;0,705679825;0,882878269;593,9507537;0,963943344;0,927829826;0,900811165;11,19093448
0;5;4;4_1504_1;0;1504;True;1293,5;(71, 65);188,4680362;0,800680904;40,58245127;0,457615669;0,679692656;261,3001642;0,963868609;0,935615723;0,897945445;11,19093448
0;5;5;5_1401_0;0;1401;False;2475;(79, 76);262,1665205;0,832072617;56,13615478;0,452512528;0,524514534;616,0101776;0,94274441;0,880683315;0,897722031;-0,481470437
0;5;6;6_1201_0;0;1201;False;2387,5;(70, 68);254,0660149;0,833187925;55,13492009;0,46479355;0,577586963;657,5087247;0,939058631;0,884652652;0,89512843;7,482310841
0;5;7;7_0901_0;0;901;False;2357;(71, 79);377,2792184;0,593927177;54,78161742;0,208086392;0,628283825;436,4408033;0,934428313;0,881999716;0,887676087;7,710033345
0;5;8;8_0601_0;0;601;False;2309,5;(83, 73);234,7523066;0,849080882;54,22680821;0,52663303;0,622657878;635,4769222;0,946363658;0,888680256;0,903059697;7,471466912
0;5;9;9_0301_0;0;301;False;2008,5;(74, 67);195,2964629;0,911297641;50,56976988;0,661748468;0,709369166;542,0643076;0,952701033;0,903509445;0,909621696;5,287499661
