day;drug concentration (uM);spheroIndex;Name;Index;Wells;multiple;Area (pix2);Centroid;Perimeter (pix);Solidity;Equivalent Diameter (pix);Circularity;Aspect ratio;Mean grey value;Homogeneity;Energy;Correlation;viability score
0;0;5;5_1502_0;0;1502;False;1797;(70, 71);196,7106766;0,866232827;47,83316278;0,583582254;0,891578672;644,0947194;0,956156426;0,913044004;0,902883132;111,1823881
0;0;9;9_0202_0;0;202;False;1425,5;(76, 85);154,811182;0,93937397;42,60285168;0,747433282;0,873186021;628,9132561;0,969614427;0,928743312;0,902123381;103,484473
0;0;10;10_0204_0;0;204;False;1357;(72, 73);164,2253956;0,896005282;41,56664603;0,632279467;0,880846117;508,2571731;0,966998166;0,93394817;0,907303901;100,3353258
0;0;11;11_0207_0;0;207;False;1263,5;(77, 78);150,811182;0,921926304;40,10907833;0,698100618;0,854067807;687,9206839;0,970564125;0,93859121;0,896144734;97,7985129
0;0;12;12_0211_0;0;211;False;1475,5;(69, 72);186,4680358;0,86921944;43,34356871;0,533261568;0,592404764;626,0597349;0,963407619;0,928307078;0,91466224;95,17422365
0;0;13;13_0213_0;0;213;False;939;(79, 73);126,2253952;0,935258964;34,57704343;0,74059705;0,947870199;464,4357372;0,976428399;0,953860039;0,906277853;90,62545561
0;0;15;15_0220_0;0;220;False;926;(68, 70);126,0832599;0,931589537;34,33685802;0,731991423;0,840459051;623,8690026;0,974954538;0,954523817;0,895050635;89,31331098
0;0;16;16_0223_0;0;223;False;1061;(75, 75);149,2548331;0,868248773;36,75468891;0,598505908;0,912927205;665,9763371;0,971574557;0,947504515;0,890461741;99,19813384
0;0;17;17_0524_0;0;524;False;1204,5;(67, 66);163,6396092;0,859129815;39,16142275;0,565248998;0,904959077;566,3858092;0,966513595;0,940576924;0,888134305;99,89794431
0;0;18;18_0824_0;0;824;False;962;(72, 38);158,0832603;0,818027211;34,99794911;0,4837413;0,737670652;388,6975958;0,970513207;0,937054119;0,910157246;95,61160519
0;0;19;19_1024_0;0;1024;False;1103;(71, 71);150,2253952;0,888441402;37,47510131;0,614184237;0,830680038;456,1009169;0,972129023;0,945814187;0,900499447;111,9696749
0;0;20;20_1324_0;0;1324;False;991;(73, 75);138,0832602;0,889986529;35,52154823;0,653132739;0,929016325;327,3305177;0,977075248;0,951138527;0,924638394;105,4089517
0;0,1;7;7_1101_0;0;1101;False;2327;(87, 74);248,1665198;0,841895803;54,43186953;0,474810011;0,700438975;616,8433893;0,950496879;0,887993841;0,914865474;123,6915002
0;0,1;9;9_0401_0;0;401;False;1599;(90, 76);164,5685413;0,940311673;45,12105974;0,741933;0,995640373;681,2440546;0,970025484;0,923206149;0,915368973;108,3831462
0;0,1;10;10_0203_0;0;203;False;1827,5;(69, 76);206,953317;0,866524419;48,23738455;0,536194638;0,76467801;622,7161101;0,965243495;0,911754326;0,918708509;109,6952909
0;0,1;16;16_0221_0;0;221;False;975,5;(83, 69);129,0121925;0,934386973;35,24266131;0,736504875;0,876957282;506,1854856;0,980320985;0,952051917;0,908702159;90,18807406
0;0,1;18;18_0624_0;0;624;False;1778,5;(67, 81);248,7523066;0,746171596;47,58630612;0,361184829;0,631845671;494,8325874;0,955826158;0,91215114;0,905934989;119,7550663
0;0,1;19;19_0924_0;0;924;False;1186;(62, 73);175,5391036;0,806528392;38,8595175;0,483667382;0,790188593;492,2364843;0,970300881;0,941186876;0,895509771;113,719201
0;0,1;20;20_1224_0;0;1224;False;1630;(82, 89);280,9949478;0,717587497;45,55634377;0,259418202;0,401286196;528,6871234;0,957749069;0,917782117;0,893287046;103,3095203
0;1;5;5_1502_0;0;1502;True;1135;(71, 80);162,2253953;0,85242208;38,01482452;0,54196101;0,903615418;552,613434;0,968605884;0,9436607;0,875456297;76,71672255
0;1;5;5_1502_1;0;1502;True;1010,5;(66, 80);140,6690465;0,87337943;35,86932617;0,641725201;0,883232835;552,8821565;0,972729601;0,950276362;0,902678547;76,71672255
0;1;8;8_0601_0;0;601;False;1751;(64, 70);184,7106771;0,888832487;47,21697198;0,644929153;0,831030723;463,5966624;0,955995907;0,91544789;0,903601957;63,7702289
0;1;9;9_0301_0;0;301;False;1903,5;(77, 71);183,7817442;0,919565217;49,23018864;0,7082034;0,959075026;552,0477541;0,964493493;0,908904102;0,92202862;65,34480245
0;1;11;11_0207_0;0;207;False;1708;(73, 60);185,5391035;0,882231405;46,63360529;0,623486167;0,899038077;582,8969378;0,96385819;0,917545455;0,901743111;73,30514652
0;1;12;12_0211_0;0;211;False;1887,5;(69, 72);189,6396091;0,90116973;49,02284815;0,659536327;0,889552067;612,6363398;0,95953724;0,909458184;0,914095843;62,54556058
0;1;13;13_0214_0;0;214;False;1645;(68, 74);182,2253953;0,888468809;45,76547881;0,622526673;0,931271941;616,9205717;0,964888014;0,920507494;0,907603928;65,08237352
0;1;15;15_0220_0;0;220;False;898,5;(71, 69);157,8406194;0,771244635;33,82315377;0,453200512;0,806738807;216,5334157;0,974876498;0,954522203;0,903925723;77,24158041
